

********Character Width-Height Details*************************


line no.: 0,  word no.:0, char no.: 0,  height:  22, width:  19,  headerWidth: 3
line no.: 0,  word no.:0, char no.: 1,  height:  22, width:  15,  headerWidth: 3
line no.: 0,  word no.:0, char no.: 2,  height:  22, width:  15,  headerWidth: 3
line no.: 0,  word no.:0, char no.: 3,  height:  22, width:  3,  headerWidth: 3
line no.: 0,  word no.:1, char no.: 0,  height:  24, width:  11,  headerWidth: 3
line no.: 0,  word no.:1, char no.: 1,  height:  24, width:  17,  headerWidth: 3
line no.: 0,  word no.:2, char no.: 0,  height:  21, width:  20,  headerWidth: 3
line no.: 0,  word no.:2, char no.: 1,  height:  21, width:  3,  headerWidth: 3
line no.: 0,  word no.:2, char no.: 2,  height:  21, width:  12,  headerWidth: 3
line no.: 0,  word no.:2, char no.: 3,  height:  21, width:  3,  headerWidth: 3
line no.: 0,  word no.:2, char no.: 4,  height:  21, width:  15,  headerWidth: 3
line no.: 0,  word no.:3, char no.: 0,  height:  31, width:  16,  headerWidth: 3
line no.: 0,  word no.:4, char no.: 0,  height:  34, width:  26,  headerWidth: 3
line no.: 0,  word no.:4, char no.: 1,  height:  34, width:  12,  headerWidth: 3
line no.: 0,  word no.:5, char no.: 0,  height:  21, width:  20,  headerWidth: 3
line no.: 0,  word no.:5, char no.: 1,  height:  21, width:  22,  headerWidth: 3
line no.: 0,  word no.:6, char no.: 0,  height:  28, width:  22,  headerWidth: 3
line no.: 0,  word no.:6, char no.: 1,  height:  28, width:  13,  headerWidth: 3
line no.: 0,  word no.:6, char no.: 2,  height:  28, width:  13,  headerWidth: 3
line no.: 0,  word no.:7, char no.: 0,  height:  32, width:  23,  headerWidth: 2
line no.: 0,  word no.:7, char no.: 1,  height:  32, width:  34,  headerWidth: 2
line no.: 0,  word no.:7, char no.: 2,  height:  32, width:  4,  headerWidth: 2
line no.: 0,  word no.:8, char no.: 0,  height:  21, width:  13,  headerWidth: 3
line no.: 0,  word no.:9, char no.: 0,  height:  33, width:  19,  headerWidth: 3
line no.: 0,  word no.:9, char no.: 1,  height:  33, width:  13,  headerWidth: 3
line no.: 0,  word no.:10, char no.: 0,  height:  29, width:  25,  headerWidth: 3
line no.: 0,  word no.:11, char no.: 0,  height:  29, width:  33,  headerWidth: 3
line no.: 0,  word no.:11, char no.: 1,  height:  29, width:  20,  headerWidth: 3
line no.: 0,  word no.:12, char no.: 0,  height:  30, width:  15,  headerWidth: 3
line no.: 1,  word no.:0, char no.: 0,  height:  30, width:  16,  headerWidth: 3
line no.: 1,  word no.:0, char no.: 1,  height:  30, width:  21,  headerWidth: 3
line no.: 1,  word no.:1, char no.: 0,  height:  28, width:  26,  headerWidth: 3
line no.: 1,  word no.:2, char no.: 0,  height:  30, width:  10,  headerWidth: 3
line no.: 1,  word no.:2, char no.: 1,  height:  30, width:  3,  headerWidth: 3
line no.: 1,  word no.:2, char no.: 2,  height:  30, width:  19,  headerWidth: 3
line no.: 1,  word no.:2, char no.: 3,  height:  30, width:  3,  headerWidth: 3
line no.: 1,  word no.:3, char no.: 0,  height:  33, width:  14,  headerWidth: 3
line no.: 1,  word no.:3, char no.: 1,  height:  33, width:  3,  headerWidth: 3
line no.: 1,  word no.:3, char no.: 2,  height:  33, width:  13,  headerWidth: 3
line no.: 1,  word no.:3, char no.: 3,  height:  33, width:  28,  headerWidth: 3
line no.: 1,  word no.:4, char no.: 0,  height:  31, width:  26,  headerWidth: 3
line no.: 1,  word no.:5, char no.: 0,  height:  23, width:  22,  headerWidth: 3
line no.: 1,  word no.:5, char no.: 1,  height:  23, width:  14,  headerWidth: 3
line no.: 1,  word no.:5, char no.: 2,  height:  23, width:  4,  headerWidth: 3
