

********Character Width-Height Details*************************


line no.: 0,  word no.:0, char no.: 0,  height:  20, width:  19,  headerWidth: 3
line no.: 0,  word no.:0, char no.: 1,  height:  21, width:  15,  headerWidth: 3
line no.: 0,  word no.:0, char no.: 2,  height:  21, width:  15,  headerWidth: 3
line no.: 0,  word no.:0, char no.: 3,  height:  21, width:  3,  headerWidth: 3
line no.: 0,  word no.:1, char no.: 0,  height:  24, width:  11,  headerWidth: 3
line no.: 0,  word no.:1, char no.: 1,  height:  21, width:  17,  headerWidth: 3
line no.: 0,  word no.:2, char no.: 0,  height:  20, width:  20,  headerWidth: 3
line no.: 0,  word no.:2, char no.: 1,  height:  20, width:  3,  headerWidth: 3
line no.: 0,  word no.:2, char no.: 2,  height:  21, width:  12,  headerWidth: 3
line no.: 0,  word no.:2, char no.: 3,  height:  21, width:  3,  headerWidth: 3
line no.: 0,  word no.:2, char no.: 4,  height:  20, width:  15,  headerWidth: 3
line no.: 0,  word no.:3, char no.: 0,  height:  10, width:  10,  headerWidth: 1
line no.: 0,  word no.:3, char no.: 0,  height:  21, width:  16,  headerWidth: 3
line no.: 0,  word no.:4, char no.: 0,  height:  10, width:  10,  headerWidth: 1
line no.: 0,  word no.:4, char no.: 1,  height:  10, width:  8,  headerWidth: 1
line no.: 0,  word no.:4, char no.: 0,  height:  21, width:  21,  headerWidth: 3
line no.: 0,  word no.:4, char no.: 1,  height:  21, width:  3,  headerWidth: 3
line no.: 0,  word no.:4, char no.: 2,  height:  24, width:  11,  headerWidth: 3
line no.: 0,  word no.:5, char no.: 0,  height:  21, width:  20,  headerWidth: 3
line no.: 0,  word no.:5, char no.: 1,  height:  21, width:  22,  headerWidth: 3
line no.: 0,  word no.:6, char no.: 0,  height:  5, width:  3,  headerWidth: 1
line no.: 0,  word no.:6, char no.: 0,  height:  21, width:  22,  headerWidth: 3
line no.: 0,  word no.:6, char no.: 1,  height:  21, width:  13,  headerWidth: 3
line no.: 0,  word no.:6, char no.: 2,  height:  21, width:  13,  headerWidth: 3
line no.: 0,  word no.:7, char no.: 0,  height:  10, width:  9,  headerWidth: 1
line no.: 0,  word no.:7, char no.: 1,  height:  2, width:  1,  headerWidth: 1
line no.: 0,  word no.:7, char no.: 0,  height:  20, width:  21,  headerWidth: 2
line no.: 0,  word no.:7, char no.: 1,  height:  20, width:  4,  headerWidth: 2
line no.: 0,  word no.:7, char no.: 2,  height:  22, width:  14,  headerWidth: 2
line no.: 0,  word no.:7, char no.: 3,  height:  21, width:  12,  headerWidth: 2
line no.: 0,  word no.:7, char no.: 4,  height:  20, width:  4,  headerWidth: 2
line no.: 0,  word no.:8, char no.: 0,  height:  20, width:  13,  headerWidth: 3
line no.: 0,  word no.:9, char no.: 0,  height:  10, width:  11,  headerWidth: 1
line no.: 0,  word no.:9, char no.: 1,  height:  10, width:  11,  headerWidth: 1
line no.: 0,  word no.:9, char no.: 0,  height:  23, width:  13,  headerWidth: 3
line no.: 0,  word no.:9, char no.: 1,  height:  20, width:  3,  headerWidth: 3
line no.: 0,  word no.:9, char no.: 2,  height:  20, width:  13,  headerWidth: 3
line no.: 0,  word no.:10, char no.: 0,  height:  8, width:  10,  headerWidth: 1
line no.: 0,  word no.:10, char no.: 0,  height:  21, width:  20,  headerWidth: 3
line no.: 0,  word no.:10, char no.: 1,  height:  20, width:  3,  headerWidth: 3
line no.: 0,  word no.:11, char no.: 0,  height:  8, width:  15,  headerWidth: 1
line no.: 0,  word no.:11, char no.: 1,  height:  8, width:  14,  headerWidth: 1
line no.: 0,  word no.:11, char no.: 0,  height:  20, width:  3,  headerWidth: 3
line no.: 0,  word no.:11, char no.: 1,  height:  21, width:  26,  headerWidth: 3
line no.: 0,  word no.:11, char no.: 2,  height:  21, width:  3,  headerWidth: 3
line no.: 0,  word no.:11, char no.: 3,  height:  21, width:  13,  headerWidth: 3
line no.: 0,  word no.:12, char no.: 0,  height:  9, width:  9,  headerWidth: 1
line no.: 0,  word no.:12, char no.: 1,  height:  4, width:  4,  headerWidth: 1
line no.: 0,  word no.:12, char no.: 0,  height:  21, width:  15,  headerWidth: 3
line no.: 1,  word no.:0, char no.: 0,  height:  10, width:  10,  headerWidth: 1
line no.: 1,  word no.:0, char no.: 0,  height:  20, width:  16,  headerWidth: 3
line no.: 1,  word no.:0, char no.: 1,  height:  20, width:  21,  headerWidth: 3
line no.: 1,  word no.:1, char no.: 0,  height:  8, width:  10,  headerWidth: 1
line no.: 1,  word no.:1, char no.: 0,  height:  20, width:  20,  headerWidth: 3
line no.: 1,  word no.:1, char no.: 1,  height:  20, width:  4,  headerWidth: 3
line no.: 1,  word no.:2, char no.: 0,  height:  8, width:  16,  headerWidth: 1
line no.: 1,  word no.:2, char no.: 0,  height:  21, width:  10,  headerWidth: 3
line no.: 1,  word no.:2, char no.: 1,  height:  21, width:  3,  headerWidth: 3
line no.: 1,  word no.:2, char no.: 2,  height:  20, width:  3,  headerWidth: 3
line no.: 1,  word no.:2, char no.: 3,  height:  22, width:  12,  headerWidth: 3
line no.: 1,  word no.:2, char no.: 4,  height:  21, width:  3,  headerWidth: 3
line no.: 1,  word no.:3, char no.: 0,  height:  10, width:  16,  headerWidth: 1
line no.: 1,  word no.:3, char no.: 0,  height:  20, width:  14,  headerWidth: 3
line no.: 1,  word no.:3, char no.: 1,  height:  20, width:  3,  headerWidth: 3
line no.: 1,  word no.:3, char no.: 2,  height:  23, width:  13,  headerWidth: 3
line no.: 1,  word no.:3, char no.: 3,  height:  20, width:  21,  headerWidth: 3
line no.: 1,  word no.:3, char no.: 4,  height:  20, width:  3,  headerWidth: 3
line no.: 1,  word no.:4, char no.: 0,  height:  10, width:  11,  headerWidth: 1
line no.: 1,  word no.:4, char no.: 0,  height:  21, width:  21,  headerWidth: 3
line no.: 1,  word no.:4, char no.: 1,  height:  21, width:  3,  headerWidth: 3
line no.: 1,  word no.:5, char no.: 0,  height:  21, width:  22,  headerWidth: 3
line no.: 1,  word no.:5, char no.: 1,  height:  23, width:  14,  headerWidth: 3
line no.: 1,  word no.:5, char no.: 2,  height:  21, width:  4,  headerWidth: 3
line no.: 1,  word no.:6, char no.: 0,  height:  8, width:  14,  headerWidth: 1
line no.: 1,  word no.:6, char no.: 0,  height:  21, width:  13,  headerWidth: 3
line no.: 1,  word no.:6, char no.: 1,  height:  23, width:  13,  headerWidth: 3
line no.: 1,  word no.:6, char no.: 2,  height:  21, width:  3,  headerWidth: 3
line no.: 1,  word no.:7, char no.: 0,  height:  8, width:  10,  headerWidth: 1
line no.: 1,  word no.:7, char no.: 0,  height:  21, width:  21,  headerWidth: 3
line no.: 1,  word no.:7, char no.: 1,  height:  21, width:  3,  headerWidth: 3
line no.: 1,  word no.:8, char no.: 0,  height:  21, width:  17,  headerWidth: 3
